time,S1,S2,S3,S4,S5
1.56,5.363678096413131e-7,1.0363678096413132e-6,2.463632190358686e-6,9.63632190358687e-7,1.0e-6
1.6,5.359753763844261e-7,1.035975376384426e-6,2.4640246236155733e-6,9.64024623615574e-7,1.0e-6
1.64,5.356283197932766e-7,1.0356283197932766e-6,2.464371680206723e-6,9.643716802067235e-7,1.0e-6
1.68,5.353213844683982e-7,1.0353213844683983e-6,2.464678615531601e-6,9.646786155316018e-7,1.0e-6
1.72,5.350499255361533e-7,1.0350499255361534e-6,2.464950074463846e-6,9.649500744638467e-7,1.0e-6
1.76,5.348098373098229e-7,1.034809837309823e-6,2.4651901626901762e-6,9.65190162690177e-7,1.0e-6
1.8,5.345974903999686e-7,1.0345974903999688e-6,2.4654025096000308e-6,9.654025096000314e-7,1.0e-6
1.84,5.344096762010607e-7,1.0344096762010608e-6,2.4655903237989383e-6,9.655903237989393e-7,1.0e-6
1.88,5.342435579140191e-7,1.0342435579140192e-6,2.46575644208598e-6,9.65756442085981e-7,1.0e-6
1.92,5.340966273139168e-7,1.0340966273139169e-6,2.4659033726860826e-6,9.659033726860832e-7,1.0e-6
1.96,5.339666665731645e-7,1.0339666665731647e-6,2.4660333334268346e-6,9.660333334268354e-7,1.0e-6
2.0,5.338517145469868e-7,1.033851714546987e-6,2.4661482854530124e-6,9.661482854530132e-7,1.0e-6
