time,S1_,k1
0.86,1.6492422502464705,1.0
0.87,1.655294535724057,1.0
0.88,1.6613247725830242,1.0
0.89,1.6673332000528167,1.0
0.9,1.6733200530678032,1.0
0.91,1.6792855623744725,1.0
0.92,1.6852299546352132,1.0
0.93,1.6911534525288106,1.0
0.94,1.697056274847782,1.0
0.95,1.7029386365926782,1.0
0.96,1.7088007490634538,1.0
0.97,1.714642819948034,1.0
0.98,1.7204650534081694,1.0
0.99,1.7262676501626766,1.0
1.0,1.7320508075681835,1.0
1.01,1.737814719697456,1.0
1.02,1.7435595774153514,1.0
1.03,1.7492855684526316,1.0
1.04,1.7549928774774413,1.0
1.05,1.7606816861649597,1.0
1.06,1.7663521732646614,1.0
1.07,1.772004514666086,1.0
1.08,1.7776388834623194,1.0
1.09,1.7832554500119435,1.0
1.1,1.788854381999075,1.0
1.11,1.7944358444918433,1.0
1.12,1.7999999999992684,1.0
1.13,1.8055470085260454,1.0
1.14,1.8110770276267458,1.0
1.15,1.8165902124578146,1.0
1.16,1.822086715828265,1.0
1.17,1.8275666882490433,1.0
1.18,1.8330302779815661,1.0
1.19,1.8384776310843265,1.0
1.2,1.843908891457998,1.0
1.21,1.8493242008903439,1.0
1.22,1.8547236990987985,1.0
1.23,1.8601075237734734,1.0
1.24,1.8654758106173666,1.0
1.25,1.8708286933865097,1.0
1.26,1.8761663039288419,1.0
1.27,1.8814887722220914,1.0
1.28,1.8867962264107037,1.0
1.29,1.8920887928418348,1.0
1.3,1.897366596100447,1.0
1.31,1.9026297590435264,1.0
1.32,1.9078784028334541,1.0
1.33,1.913112646970551,1.0
1.34,1.9183326093248247,1.0
1.35,1.923538406166943,1.0
1.36,1.9287301521984488,1.0
1.37,1.93390796058125,1.0
1.38,1.9390719429664,1.0
1.39,1.9442222095221882,1.0
1.4,1.9493588689615593,1.0
1.41,1.9544820285688904,1.0
1.42,1.9595917942261294,1.0
1.43,1.9646882704383348,1.0
1.44,1.9697715603586101,1.0
1.45,1.9748417658124566,1.0
1.46,1.9798989873215596,1.0
1.47,1.984943324127093,1.0
1.48,1.9899748742123884,1.0
1.49,1.9949937343251254,1.0
1.5,1.9999999999991396,1.0
1.51,2.0049937655754877,1.0
1.52,2.009975124223347,1.0
1.53,2.014944167960202,1.0
1.54,2.0199009876716674,1.0
1.55,2.024845673130935,1.0
1.56,2.0297783130177423,1.0
1.57,2.0346989949368752,1.0
1.58,2.039607805436368,1.0
1.59,2.044504830025349,1.0
1.6,2.049390153191224,1.0
1.61,2.0542638584166935,1.0
1.62,2.059126028196648,1.0
1.63,2.0639767440544268,1.0
1.64,2.0688160865571628,1.0
1.65,2.0736441353322173,1.0
1.66,2.078460969081881,1.0
1.67,2.083266665599262,1.0
1.68,2.0880613017817993,1.0
1.69,2.0928449536451232,1.0
1.7,2.0976176963396505,1.0
1.71,2.123676058780727,10.0
1.72,2.1702534370621414,10.0
1.73,2.2158519625292903,10.0
1.74,2.2605308822530996,10.0
1.75,2.3043436959417845,10.0
1.76,2.3473389019092763,10.0
1.77,2.3895606286727475,10.0
1.78,2.4310491699829857,10.0
1.79,2.47184143880592,10.0
1.8,2.511971353657281,10.0
1.81,2.5514701687449657,10.0
1.82,2.5903667575954636,10.0
1.83,2.6286878582316278,10.0
1.84,2.666458286528401,10.0
1.85,2.7037011231028387,10.0
1.86,2.7404378779916208,10.0
1.87,2.7766886364374543,10.0
1.88,2.812472188340547,10.0
1.89,2.8478061433373907,10.0
1.9,2.882707033042763,10.0
1.91,2.9171904017348127,10.0
1.92,2.951270886671337,10.0
1.93,2.984962289318255,10.0
1.94,3.018277639001176,10.0
1.95,3.0512292509310113,10.0
1.96,3.083828781139515,10.0
1.97,3.1160872813048166,10.0
1.98,3.1480152389570293,10.0
1.99,3.1796226104206355,10.0
2.0,3.2109188629893626,10.0
2.01,3.241913006962346,10.0
2.02,3.2726136259446434,10.0
2.03,3.303028904613841,10.0
2.04,3.333166654204732,10.0
2.05,3.3630343359369106,10.0
2.06,3.39263908258536,10.0
2.07,3.421987718371826,10.0
2.08,3.4510867773342557,10.0
2.09,3.4799425203146774,10.0
2.1,3.5085609506883295,10.0
2.11,3.5369478289476817,10.0
2.12,3.5651086862398205,10.0
2.13,3.59304883694932,10.0
2.14,3.620773390410982,10.0
2.15,3.648287261807224,10.0
2.16,3.675595182358713,10.0
2.17,3.7027017088212624,10.0
2.18,3.7296112323534327,10.0
2.19,3.7563279868182358,10.0
2.2,3.7828560565604974,10.0
2.21,3.8091993836981035,10.0
2.22,3.835361774962668,10.0
2.23,3.861346908122513,10.0
2.24,3.8871583380184243,10.0
2.25,3.9127995022402655,10.0
2.26,3.938273726470362,10.0
2.27,3.9635842295174712,10.0
2.28,3.988734128063092,10.0
2.29,4.01372644114049,10.0
2.3,4.038564094364387,10.0
2.31,4.063249923928546,10.0
2.32,4.087786680386218,10.0
2.33,4.112177032228003,10.0
2.34,4.136423569270207,10.0
2.35,4.160528805864523,10.0
2.36,4.1844951839419,10.0
2.37,4.208325075899262,10.0
2.38,4.2320207873385645,10.0
2.39,4.255584559671528,10.0
2.4,4.279018572590649,10.0
2.41,4.30232494642384,10.0
2.42,4.325505744374845,10.0
2.43,4.348562974664322,10.0
2.44,4.371498592544763,10.0
2.45,4.39431450224222,10.0
2.46,4.417012558801503,10.0
2.47,4.439594569846037,10.0
2.48,4.462062297257527,10.0
2.49,4.484417458780147,10.0
2.5,4.506661729553232,10.0
2.51,4.528796743576283,10.0
2.52,4.55082409510981,10.0
2.53,4.572745340015433,10.0
2.54,4.594561997038388,10.0
2.55,4.6162755490354295,10.0
2.56,4.637887444150988,10.0
2.57,4.659399096944206,10.0
2.58,4.6808118894692745,10.0
2.59,4.702127172311732,10.0
2.6,4.723346265582325,10.0
2.61,4.744470459871296,10.0
2.62,4.765501017164234,10.0
2.63,4.7864391717221295,10.0
2.64,4.807286130926521,10.0
2.65,4.82804307609203,10.0
2.66,4.848711163247394,10.0
2.67,4.8692915238871475,10.0
2.68,4.889785265694172,10.0
2.69,4.910193473235713,10.0
2.7,4.93051720863103,10.0
2.71,4.95075751220087,10.0
2.72,4.970915403083167,10.0
2.73,4.990991879838041,10.0
2.74,5.010987921020697,10.0
2.75,5.030904485737648,10.0
2.76,5.050742514186894,10.0
2.77,5.070502928173378,10.0
2.78,5.090186631609381,10.0
2.79,5.109794510997001,10.0
2.8,5.129327435894046,10.0
2.81,5.148786259364009,10.0
2.82,5.168171818410809,10.0
2.83,5.187484934398903,10.0
2.84,5.206726413459352,10.0
2.85,5.2258970468824755,10.0
2.86,5.244997611497514,10.0
2.87,5.264028870039962,10.0
2.88,5.282991571506989,10.0
2.89,5.301886451501397,10.0
2.9,5.32071423256447,10.0
2.91,5.339475624498519,10.0
2.92,5.358171324679097,10.0
2.93,5.376802018357642,10.0
2.94,5.395368378953716,10.0
2.95,5.41387106834028,10.0
2.96,5.432310737118695,10.0
2.97,5.450688024883874,10.0
2.98,5.469003560486262,10.0
2.99,5.487257962280357,10.0
3.0,5.505451838370318,10.0
