time,pp9_mrna_,p9_,pp8_mrna_,p8_,pp7_mrna_,p7_,pp6_mrna_,p6_,pp5_mrna_,p5_,pp4_mrna_,p4_,pp3_mrna_,p3_,pp2_mrna_,p2_,pp1_mrna_,p1_,DefaultCompartment,pp8_mrna_degradation_rate,pp9_mrna_degradation_rate,p1_degradation_rate,p2_degradation_rate,p3_degradation_rate,p4_degradation_rate,p5_degradation_rate,p6_degradation_rate,p7_degradation_rate,p8_degradation_rate,p9_degradation_rate,v1_Kd,v1_h,v2_Kd,v2_h,v3_Kd,v3_h,v4_Kd,v4_h,v5_Kd,v5_h,v6_Kd,v6_h,v7_Kd,v7_h,v8_Kd,v8_h,v9_Kd,v9_h,pp1_mrna_degradation_rate,pp2_mrna_degradation_rate,pro1_strength,pro2_strength,pro3_strength,pro4_strength,pro5_strength,pro6_strength,pro7_strength,pro8_strength,pro9_strength,pp3_mrna_degradation_rate,v10_Kd,v10_h,v11_Kd,v11_h,v12_Kd,v12_h,v13_Kd,v13_h,pp4_mrna_degradation_rate,v14_Kd,v14_h,v15_Kd,v15_h,pp5_mrna_degradation_rate,rbs1_strength,rbs2_strength,rbs3_strength,rbs4_strength,rbs5_strength,rbs6_strength,rbs7_strength,rbs8_strength,rbs9_strength,pp6_mrna_degradation_rate,pp7_mrna_degradation_rate,as8,cod1,cod2,cod3,cod4,cod5,cod6,cod7,cod8,cod9,rs1,rs2,rs3,rs4,rs5,rs6,rs7,as1,as2,as3,as4,as5,as6,as7
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026693048350649284,1.3533121069411424e-6,0.4756564196052477,0.052557706489843856,0.4756564196052477,0.01902541411397063,0.13053799708600136,0.009256194923670656,0.19032516392808088,4.759636958991035,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,11.147,1.0,1.0,4.0,20.0,1.0,0.2,4.0,0.2,4.0,0.04,4.0,0.02,4.0,0.04,4.0,0.2,4.0,1.0,1.0,2.0,4.5077,5.0,5.0,5.0,1.31,1.31,5.0,5.0,1.0,0.02,4.0,0.1,2.0,0.1,2.0,0.01,2.0,1.0,1.0,4.0,20.0,1.0,1.0,0.3668,1.4102,0.8,2.21,0.5,2.0,5.0,3.6377,8.0,1.0,1.0,0.0,2.0,1.348809027034259,4.995248130083292,4.995248130083291,0.023731731346575247,0.0,0.0,0.0,0.0,1.0,0.999999992659427,0.9990496333502551,1.0,1.0,0.999999992659427,0.9990496333502551,0.29922333496777936,0.00474634626931505,0.0,0.0,0.0,0.0,0.0
0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006158682923538434,3.4432553480939063e-6,0.5206223537523115,0.06327823476088529,0.5206223537523115,0.022906148329732232,0.14263717335506393,0.011131646593153636,0.2083317294069294,4.7366275649198,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,11.147,1.0,1.0,4.0,20.0,1.0,0.2,4.0,0.2,4.0,0.04,4.0,0.02,4.0,0.04,4.0,0.2,4.0,1.0,1.0,2.0,4.5077,5.0,5.0,5.0,1.31,1.31,5.0,5.0,1.0,0.02,4.0,0.1,2.0,0.1,2.0,0.01,2.0,1.0,1.0,4.0,20.0,1.0,1.0,0.3668,1.4102,0.8,2.21,0.5,2.0,5.0,3.6377,8.0,1.0,1.0,0.0,2.0,1.3442329837514537,4.994279937374868,4.994279937374867,0.04960633876570562,0.0,0.0,0.0,0.0,1.0,0.9999999846454308,0.9988560028119772,1.0,1.0,0.9999999846454308,0.9988560028119772,0.29820817351453155,0.009921267753141123,0.0,0.0,0.0,0.0,0.0
0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013156285436038762,8.05256822934332e-6,0.5651308167062522,0.07493150758043268,0.5651308167062522,0.027124527630925863,0.1545705417816207,0.01316677177052536,0.22615912656568482,4.7137984853230375,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,11.147,1.0,1.0,4.0,20.0,1.0,0.2,4.0,0.2,4.0,0.04,4.0,0.02,4.0,0.04,4.0,0.2,4.0,1.0,1.0,2.0,4.5077,5.0,5.0,5.0,1.31,1.31,5.0,5.0,1.0,0.02,4.0,0.1,2.0,0.1,2.0,0.01,2.0,1.0,1.0,4.0,20.0,1.0,1.0,0.3668,1.4102,0.8,2.21,0.5,2.0,5.0,3.6377,8.0,1.0,1.0,0.0,2.0,1.3396796795541586,4.993227902314639,4.99322790231464,0.09661267331346943,0.0,0.0,0.0,0.0,1.0,0.9999999699449664,0.9986456104772553,1.0,1.0,0.9999999699449664,0.9986456104772553,0.2971980565596998,0.019322534662693885,0.0,0.0,0.0,0.0,0.0
0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002629775438762323,1.7527522304897656e-5,0.6091855331807068,0.08750282911750543,0.6091855331807068,0.03167523225973047,0.16633997815570944,0.015358454921298332,0.24380913815883257,4.691148168599069,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,11.147,1.0,1.0,4.0,20.0,1.0,0.2,4.0,0.2,4.0,0.04,4.0,0.02,4.0,0.04,4.0,0.2,4.0,1.0,1.0,2.0,4.5077,5.0,5.0,5.0,1.31,1.31,5.0,5.0,1.0,0.02,4.0,0.1,2.0,0.1,2.0,0.01,2.0,1.0,1.0,4.0,20.0,1.0,1.0,0.3668,1.4102,0.8,2.21,0.5,2.0,5.0,3.6377,8.0,1.0,1.0,0.0,2.0,1.3351490574838127,4.992093435845967,4.992093435845967,0.17672987935101253,0.0,0.0,0.0,0.0,1.0,0.9999999443596204,0.9984187427215913,1.0,1.0,0.9999999443596204,0.9984187427215913,0.29619297146744744,0.03534597587020251,0.0,0.0,0.0,0.0,0.0
0.14,0.0,0.0,0.0,0.0,4.628211224979036e-18,8.886664287872293e-20,4.628211224979036e-18,3.5546657151489164e-20,0.0049548765329069724,3.5836564822529677e-5,0.6527902047814413,0.10097765869276006,0.6527902047814413,0.036552998621813604,0.17794733903240392,0.017703622300561103,0.26128352920238784,4.668675077374854,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,11.147,1.0,1.0,4.0,20.0,1.0,0.2,4.0,0.2,4.0,0.04,4.0,0.02,4.0,0.04,4.0,0.2,4.0,1.0,1.0,2.0,4.5077,5.0,5.0,5.0,1.31,1.31,5.0,5.0,1.0,0.02,4.0,0.1,2.0,0.1,2.0,0.01,2.0,1.0,1.0,4.0,20.0,1.0,1.0,0.3668,1.4102,0.8,2.21,0.5,2.0,5.0,3.6377,8.0,1.0,1.0,1.1102230246251554e-15,2.0,1.3306410597919136,4.990877931138148,4.990877931138147,0.30507713932742325,1.4543921622589536e-15,1.4543921622589536e-15,0.0,0.0,1.0,0.999999901769015,0.9981756842794103,1.0,1.0,0.999999901769015,0.9981756842794103,0.29519290542669513,0.061015427865484646,1.1102230246251554e-15,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,7.189148072513447e-17,1.3257786343621282e-18,7.189148072513447e-17,5.303114537448515e-19,0.008842583160554076,6.928868644888645e-5,0.695948510042227,0.11534160949536758,0.695948510042227,0.04175261882185252,0.18939446191510642,0.020199241475208903,0.27858404714991797,4.64637768837106,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,11.147,1.0,1.0,4.0,20.0,1.0,0.2,4.0,0.2,4.0,0.04,4.0,0.02,4.0,0.04,4.0,0.2,4.0,1.0,1.0,2.0,4.5077,5.0,5.0,5.0,1.31,1.31,5.0,5.0,1.0,0.02,4.0,0.1,2.0,0.1,2.0,0.01,2.0,1.0,1.0,4.0,20.0,1.0,1.0,0.3668,1.4102,0.8,2.21,0.5,2.0,5.0,3.6377,8.0,1.0,1.0,1.4432899320126827e-14,2.0,1.3261556279561406,4.989582760288444,4.989582760288445,0.49800020089706765,1.8907098109366143e-14,1.8907098109366143e-14,0.0,0.0,1.0,0.9999998335283931,0.9979167181824886,1.0,1.0,0.9999998335283931,0.9979167181824886,0.2941978454546977,0.09960004017941353,1.4432899320126827e-14,0.0,0.0,0.0,0.0
0.16,0.0,0.0,0.0,0.0,8.869188760315085e-16,1.77249537432642e-17,8.869188760315085e-16,7.08998149730568e-18,0.014991317460560557,0.00012729195662025938,0.7386641044267959,0.13058044730728088,0.7386641044267959,0.04726894020173065,0.20068316543768439,0.02284232085122578,0.29571242206757736,4.62425449226746,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,11.147,1.0,1.0,4.0,20.0,1.0,0.2,4.0,0.2,4.0,0.04,4.0,0.02,4.0,0.04,4.0,0.2,4.0,1.0,1.0,2.0,4.5077,5.0,5.0,5.0,1.31,1.31,5.0,5.0,1.0,0.02,4.0,0.1,2.0,0.1,2.0,0.01,2.0,1.0,1.0,4.0,20.0,1.0,1.0,0.3668,1.4102,0.8,2.21,0.5,2.0,5.0,3.6377,8.0,1.0,1.0,1.640909630395712e-13,2.0,1.321692702696166,4.988209270486227,4.9882092704862275,0.7688641249749361,2.1495916158183828e-13,2.1495916158183828e-13,0.0,0.0,1.0,0.9999997277544488,0.9976421257008758,1.0,1.0,0.9999997277544488,0.9976421257008758,0.2932077784005515,0.1537728249949872,1.640909630395712e-13,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.0,0.0,9.031523297305668e-15,1.9535477921921078e-16,9.031523297305668e-15,7.814191168768431e-17,0.024185670217721174,0.00022294408866828605,0.7809406202893932,0.14668008923333212,0.7809406202893932,0.05309686488084422,0.21181524954484343,0.02562990920585156,0.31267036680723787,4.6023039935698575,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,11.147,1.0,1.0,4.0,20.0,1.0,0.2,4.0,0.2,4.0,0.04,4.0,0.02,4.0,0.04,4.0,0.2,4.0,1.0,1.0,2.0,4.5077,5.0,5.0,5.0,1.31,1.31,5.0,5.0,1.0,0.02,4.0,0.1,2.0,0.1,2.0,0.01,2.0,1.0,1.0,4.0,20.0,1.0,1.0,0.3668,1.4102,0.8,2.21,0.5,2.0,5.0,3.6377,8.0,1.0,1.0,1.5440981826462835e-12,2.0,1.317252223989388,4.986758779608106,4.986758779608106,1.1219591781439768,2.0227686192666313e-12,2.0227686192666313e-12,0.0,0.0,1.0,0.9999995684927635,0.997352186286307,1.0,1.0,0.9999995684927635,0.997352186286307,0.29222269094868514,0.22439183562879536,1.5440981826462835e-12,0.0,0.0,0.0,0.0
0.18,0.0,0.0,0.0,0.0,7.688538940231571e-14,1.797558071957246e-15,7.688538940231571e-14,7.190232287828985e-16,0.03717577416226828,0.0003731653807980469,0.8227816667878489,0.16362660243595603,0.8227816667878489,0.059231349298083644,0.22279249567056886,0.028559095224549375,0.3294595771774559,4.580524710478867,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,11.147,1.0,1.0,4.0,20.0,1.0,0.2,4.0,0.2,4.0,0.04,4.0,0.02,4.0,0.04,4.0,0.2,4.0,1.0,1.0,2.0,4.5077,5.0,5.0,5.0,1.31,1.31,5.0,5.0,1.0,0.02,4.0,0.1,2.0,0.1,2.0,0.01,2.0,1.0,1.0,4.0,20.0,1.0,1.0,0.3668,1.4102,0.8,2.21,0.5,2.0,5.0,3.6377,8.0,1.0,1.0,1.2119416581266254e-11,2.0,1.312834131086666,4.985232571218728,4.985232571218728,1.5470047549782386,1.5876435721458792e-11,1.5876435721458792e-11,0.0,0.0,1.0,0.9999993347613261,0.9970471775180879,1.0,1.0,0.9999993347613261,0.9970471775180879,0.2912425696223498,0.30940095099564774,1.2119416581266254e-11,0.0,0.0,0.0,0.0
0.19,0.0,0.0,0.0,0.0,5.519310519913778e-13,1.397575044256083e-14,5.519310519913778e-13,5.59030017702433e-15,0.05452268656963709,0.0005981253394542462,0.8641908297460519,0.18140620287415113,0.8641908297460519,0.06566740375534884,0.23361666691530028,0.031627007042851873,0.346081732113269,4.558915174759288,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,11.147,1.0,1.0,4.0,20.0,1.0,0.2,4.0,0.2,4.0,0.04,4.0,0.02,4.0,0.04,4.0,0.2,4.0,1.0,1.0,2.0,4.5077,5.0,5.0,5.0,1.31,1.31,5.0,5.0,1.0,0.02,4.0,0.1,2.0,0.1,2.0,0.01,2.0,1.0,1.0,4.0,20.0,1.0,1.0,0.3668,1.4102,0.8,2.21,0.5,2.0,5.0,3.6377,8.0,1.0,1.0,7.999245709626343e-11,2.0,1.3084383625277922,4.98363188895789,4.98363188895789,2.018207919493484,1.047901187961051e-10,1.047901187961051e-10,0.0,0.0,1.0,0.9999989994657804,0.9967273750514244,1.0,1.0,0.9999989994657804,0.9967273750514244,0.29026740078705154,0.40364158389869675,7.999245709626343e-11,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0,3.3687924807015795e-12,9.260607146534631e-14,3.3687924807015795e-12,3.7042428586138506e-14,0.07646975192550023,0.0009199372849945649,0.9051716714581614,0.20000525404488956,0.9051716714581614,0.07240009196195098,0.24428950822131842,0.03483081179294129,0.3625384938440363,4.537473931611093,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,11.147,1.0,1.0,4.0,20.0,1.0,0.2,4.0,0.2,4.0,0.04,4.0,0.02,4.0,0.04,4.0,0.2,4.0,1.0,1.0,2.0,4.5077,5.0,5.0,5.0,1.31,1.31,5.0,5.0,1.0,0.02,4.0,0.1,2.0,0.1,2.0,0.01,2.0,1.0,1.0,4.0,20.0,1.0,1.0,0.3668,1.4102,0.8,2.21,0.5,2.0,5.0,3.6377,8.0,1.0,1.0,4.4762349362628757e-10,2.0,1.3040648561569161,4.981957930300931,4.981957930300931,2.5001313493968365,5.863867766504368e-10,5.863867766504368e-10,0.0,0.0,1.0,0.9999985281832298,0.9963930525681907,1.0,1.0,0.9999985281832298,0.9963930525681907,0.2892971706539735,0.5000262698793673,4.4762349362628757e-10,0.0,0.0,0.0,0.0
0.21,0.0,0.0,0.0,0.0,1.7639184257032498e-11,5.274546023222333e-13,1.7639184257032498e-11,2.109818409288932e-13,0.10289931147943873,0.0013609129520682102,0.9457277304295691,0.21941026572576322,0.9457277304295691,0.0794245305794618,0.2548127465465527,0.038167715154940655,0.37883150805962523,4.516199539541649,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,11.147,1.0,1.0,4.0,20.0,1.0,0.2,4.0,0.2,4.0,0.04,4.0,0.02,4.0,0.04,4.0,0.2,4.0,1.0,1.0,2.0,4.5077,5.0,5.0,5.0,1.31,1.31,5.0,5.0,1.0,0.02,4.0,0.1,2.0,0.1,2.0,0.01,2.0,1.0,1.0,4.0,20.0,1.0,1.0,0.3668,1.4102,0.8,2.21,0.5,2.0,5.0,3.6377,8.0,1.0,1.0,2.143884620786711e-9,2.0,1.2997135491378422,4.980211839685424,4.980211839685425,2.957903640913255,2.8084888532305917e-9,2.8084888532305917e-9,0.0,0.0,1.0,0.9999978778126177,0.9960444817301162,1.0,1.0,0.9999978778126177,0.9960444817301162,0.28833186528336896,0.591580728182651,2.143884620786711e-9,0.0,0.0,0.0,0.0
