time,S1_,C
0.86,1.6492422502464703,1.0
0.87,1.6552945357240567,1.0
0.88,1.661324772583024,1.0
0.89,1.6673332000528167,1.0
0.9,1.673320053067803,1.0
0.91,1.679285562374472,1.0
0.92,1.685229954635213,1.0
0.93,1.6911534525288103,1.0
0.94,1.6970562748477827,1.0
0.95,1.702938636592677,1.0
0.96,1.7088007490634525,1.0
0.97,1.7146428199480324,1.0
0.98,1.7204650534081685,1.0
0.99,1.7262676501626777,1.0
1.0,1.7320508075681822,1.0
1.01,1.7378147196974478,1.0
1.02,1.7435595774153476,1.0
1.03,1.749285568452616,1.0
1.04,1.7549928774774486,1.0
1.05,1.7606816861649477,1.0
1.06,1.766352173264657,1.0
1.07,1.7720045146660792,1.0
1.08,1.7776388834622534,1.0
1.09,1.7832554500119495,1.0
1.1,1.7888543819990803,1.0
1.11,1.7944358444919777,1.0
1.12,1.7999999999993255,1.0
1.13,1.8055470085260688,1.0
1.14,1.8110770276269041,1.0
1.15,1.8165902124579119,1.0
1.16,1.822086715828222,1.0
1.17,1.8275666882492223,1.0
1.18,1.8330302779819214,1.0
1.19,1.838477631084721,1.0
1.2,1.843908891457913,1.0
1.21,1.8493242008903439,1.0
1.22,1.8547236990987985,1.0
1.23,1.8601075237734734,1.0
1.24,1.8654758106173666,1.0
1.25,1.87082869338651,1.0
1.26,1.8761663039288419,1.0
1.27,1.8814887722220914,1.0
1.28,1.8867962264107037,1.0
1.29,1.8920887928418348,1.0
1.3,1.897366596100447,1.0
1.31,1.9026297590435266,1.0
1.32,1.9078784028334543,1.0
1.33,1.913112646970551,1.0
1.34,1.9183326093248247,1.0
1.35,1.923538406166943,1.0
1.36,1.928730152198448,1.0
1.37,1.9339079605812493,1.0
1.38,1.9390719429664007,1.0
1.39,1.9442222095221884,1.0
1.4,1.9493588689615613,1.0
1.41,1.954482028568887,1.0
1.42,1.9595917942261292,1.0
1.43,1.9646882704383362,1.0
1.44,1.969771560358608,1.0
1.45,1.9748417658124513,1.0
1.46,1.9798989873215633,1.0
1.47,1.9849433241271037,1.0
1.48,1.9899748742123855,1.0
1.49,1.99499373432514,1.0
1.5,1.9999999999991385,1.0
1.51,2.0049937655754833,1.0
1.52,2.0099751242233475,1.0
1.53,2.0149441679602083,1.0
1.54,2.019900987671641,1.0
1.55,2.024845673130883,1.0
1.56,2.029778313017747,1.0
1.57,2.0346989949369294,1.0
1.58,2.039607805436365,1.0
1.59,2.044504830025387,1.0
1.6,2.0493901531911622,1.0
1.61,2.0542638584166695,1.0
1.62,2.059126028196654,1.0
1.63,2.0639767440544374,1.0
1.64,2.068816086557128,1.0
1.65,2.0736441353319757,1.0
1.66,2.0784609690822746,1.0
1.67,2.083266665599287,1.0
1.68,2.0880613017814578,1.0
1.69,2.0928449536450326,1.0
1.7,2.0976176963394386,1.0
1.71,2.325940642038806,10.0
1.72,2.722131468247998,10.0
1.73,3.067572319672741,10.0
1.74,3.3778691415311015,10.0
1.75,3.6619666761575695,10.0
1.76,3.9255572773019805,10.0
1.77,4.1725292014590005,10.0
1.78,4.405678147258653,10.0
1.79,4.627094113721977,10.0
1.8,4.838388154872597,10.0
1.81,5.040833258225204,10.0
1.82,5.235456039089059,10.0
1.83,5.423098739390786,10.0
1.84,5.604462502076823,10.0
1.85,5.780138401216322,10.0
1.86,5.950630213447677,10.0
1.87,6.116371468217925,10.0
1.88,6.277738441284287,10.0
1.89,6.435060212397929,10.0
1.9,6.588626559246471,10.0
1.91,6.7386942308728495,10.0
1.92,6.885491989480624,10.0
1.93,7.029224703850276,10.0
1.94,7.170076703715722,10.0
1.95,7.308214551938994,10.0
1.96,7.44378935335914,10.0
1.97,7.576938691661152,10.0
1.98,7.70778826494255,10.0
1.99,7.836453275377761,10.0
2.0,7.96303961670546,10.0
2.01,8.087644894355272,10.0
2.02,8.210359306214487,10.0
2.03,8.33126640656459,10.0
2.04,8.450443771610725,10.0
2.05,8.567963581689554,10.0
2.06,8.683893132530065,10.0
2.07,8.798295285859322,10.0
2.08,8.911228867959288,10.0
2.09,9.022749023285005,10.0
2.1,9.132907529216352,10.0
2.11,9.241753077050756,10.0
2.12,9.349331523543457,10.0
2.13,9.455686116676699,10.0
2.14,9.560857698822202,10.0
2.15,9.664884890009402,10.0
2.16,9.767804253625167,10.0
2.17,9.869650446554404,10.0
2.18,9.970456355512223,10.0
2.19,10.070253221103677,10.0
2.2,10.169070750915441,10.0
2.21,10.266937222811553,10.0
2.22,10.363879579443228,10.0
2.23,10.459923514883227,10.0
2.24,10.555093554164436,10.0
2.25,10.649413126417084,10.0
2.26,10.74290463222454,10.0
2.27,10.835589505748159,10.0
2.28,10.92748827210979,10.0
2.29,11.018620600470172,10.0
2.3,11.10900535318483,10.0
2.31,11.198660631393617,10.0
2.32,11.287603817336517,10.0
2.33,11.375851613710264,10.0
2.34,11.46342008028764,10.0
2.35,11.55032466803871,10.0
2.36,11.636580250962508,10.0
2.37,11.722201155803555,10.0
2.38,11.807201189832082,10.0
2.39,11.891593666838872,10.0
2.4,11.975391431481091,10.0
2.41,12.058606882104714,10.0
2.42,12.141251992158121,10.0
2.43,12.223338330302377,10.0
2.44,12.304877079313881,10.0
2.45,12.385879053867434,10.0
2.46,12.466354717280202,10.0
2.47,12.546314197287813,10.0
2.48,12.625767300923153,10.0
2.49,12.704723528556283,10.0
2.5,12.783192087154212,10.0
2.51,12.861181902809074,10.0
2.52,12.938701632586055,10.0
2.53,13.015759675759616,10.0
2.54,13.092364184405973,10.0
2.55,13.168523073491498,10.0
2.56,13.244244030409892,10.0
2.57,13.319534524038398,10.0
2.58,13.394401813335543,10.0
2.59,13.468852955509503,10.0
2.6,13.542894813782569,10.0
2.61,13.616534064775578,10.0
2.62,13.689777205534611,10.0
2.63,13.76263056022101,10.0
2.64,13.835100286483977,10.0
2.65,13.90719238153457,10.0
2.66,13.978912687937273,10.0
2.67,14.050266899136147,10.0
2.68,14.121260564728747,10.0
2.69,14.191899095504418,10.0
2.7,14.262187768256029,10.0
2.71,14.332131730381287,10.0
2.72,14.401736004281195,10.0
2.73,14.471005491568393,10.0
2.74,14.539944977096829,10.0
2.75,14.608559132818044,10.0
2.76,14.676852521472503,10.0
2.77,14.744829600138962,10.0
2.78,14.81249472361285,10.0
2.79,14.879852147689355,10.0
2.8,14.946906032256129,10.0
2.81,15.013660444311828,10.0
2.82,15.080119360837084,10.0
2.83,15.14628667156061,10.0
2.84,15.21216618161582,10.0
2.85,15.277761614094423,10.0
2.86,15.34307661250171,10.0
2.87,15.40811474311816,10.0
2.88,15.47287949727176,10.0
2.89,15.537374293525028,10.0
2.9,15.601602479780347,10.0
2.91,15.665567335308676,10.0
2.92,15.729272072702178,10.0
2.93,15.792719839757996,10.0
2.94,15.855913721292794,10.0
2.95,15.91885674089349,10.0
2.96,15.981551862603599,10.0
2.97,16.044001992554467,10.0
2.98,16.106209980534153,10.0
2.99,16.16817862151105,10.0
3.0,16.22991065708911,10.0
