time,S1,C
0.65,1.5165750888103038,1.0
0.66,1.5231546211727753,1.0
0.67,1.5297058540778292,1.0
0.68,1.5362291495737155,1.0
0.69,1.5427248620541458,1.0
0.7,1.5491933384829615,1.0
0.71,1.5556349186103993,1.0
0.72,1.5620499351813255,1.0
0.73,1.568438714135807,1.0
0.74,1.574801574802357,1.0
0.75,1.5811388300841844,1.0
0.76,1.587450786638749,1.0
0.77,1.5937377450509171,1.0
0.78,1.5999999999999945,1.0
0.79,1.6062378404208955,1.0
0.8,1.6124515496597047,1.0
0.81,1.6186414056238594,1.0
0.82,1.6248076809271887,1.0
0.83,1.6309506430300058,1.0
0.84,1.6370705543744868,1.0
0.85,1.6431676725154951,1.0
0.86,1.649242250247061,1.0
0.87,1.6552945357246815,1.0
0.88,1.6613247725836118,1.0
0.89,1.6673332000533034,1.0
0.9,1.673320053068148,1.0
0.91,1.6792855623746634,1.0
0.92,1.6852299546352687,1.0
0.93,1.6911534525287732,1.0
0.94,1.697056274847708,1.0
0.95,1.702938636592634,1.0
0.96,1.7088007490635002,1.0
0.97,1.7146428199482189,1.0
0.98,1.7204650534085193,1.0
0.99,1.726267650163201,1.0
1.0,1.7320508075688714,1.0
1.01,1.737814719698272,1.0
1.02,1.7435595774162662,1.0
1.03,1.7492855684535895,1.0
1.04,1.754992877478424,1.0
1.05,1.7606816861659005,1.0
1.06,1.7663521732655691,1.0
1.07,1.7720045146669348,1.0
1.08,1.7776388834631176,1.0
1.09,1.7832554500127007,1.0
1.1,1.788854381999832,1.0
1.11,1.7944358444926363,1.0
1.12,1.8000000000000003,1.0
1.13,1.8055470085267793,1.0
1.14,1.811077027627484,1.0
1.15,1.8165902124584956,1.0
1.16,1.8220867158288607,1.0
1.17,1.8275666882497075,1.0
1.18,1.833030277982337,1.0
1.19,1.8384776310850246,1.0
1.2,1.8439088914585788,1.0
1.21,1.8493242008906943,1.0
1.22,1.8547236990991423,1.0
1.23,1.860107523773829,1.0
1.24,1.8654758106177647,1.0
1.25,1.8708286933869724,1.0
1.26,1.876166303929374,1.0
1.27,1.88148877222268,1.0
1.28,1.8867962264113232,1.0
1.29,1.8920887928424526,1.0
1.3,1.8973665961010304,1.0
1.31,1.9026297590440475,1.0
1.32,1.9078784028338942,1.0
1.33,1.913112646970902,1.0
1.34,1.918332609325091,1.0
1.35,1.9235384061671377,1.0
1.36,1.9287301521985944,1.0
1.37,1.9339079605813752,1.0
1.38,1.9390719429665353,1.0
1.39,1.9442222095223618,1.0
1.4,1.9493588689617967,1.0
1.41,1.9544820285692104,1.0
1.42,1.9595917942265466,1.0
1.43,1.9646882704388542,1.0
1.44,1.9697715603592252,1.0
1.45,1.974841765813154,1.0
1.46,1.9798989873223374,1.0
1.47,1.984943324127925,1.0
1.48,1.9899748742132444,1.0
1.49,1.994993734326005,1.0
1.5,2.000000000000005,1.0
1.51,2.0049937655763466,1.0
1.52,2.009975124224183,1.0
1.53,2.0149441679609934,1.0
1.54,2.0199009876724205,1.0
1.55,2.0248456731316633,1.0
1.56,2.029778313018449,1.0
1.57,2.0346989949375853,1.0
1.58,2.039607805437119,1.0
1.59,2.044504830026092,1.0
1.6,2.0493901531919247,1.0
1.61,2.054263858417419,1.0
1.62,2.0591260281974053,1.0
1.63,2.0639767440550347,1.0
1.64,2.0688160865577254,1.0
1.65,2.0736441353327772,1.0
1.66,2.078460969082658,1.0
1.67,2.0832666655999716,1.0
1.68,2.088061301782116,1.0
1.69,2.092844953645641,1.0
1.7,2.0976176963403095,1.0
1.71,2.1023796041628704,10.0
1.72,2.1071307505705543,10.0
1.73,2.1118712081942945,10.0
1.74,2.1166010488516798,10.0
1.75,2.12132034355965,10.0
1.76,2.126029162546937,10.0
1.77,2.130727575266259,10.0
1.78,2.13541565040627,10.0
1.79,2.140093455903277,10.0
1.8,2.144761058952729,10.0
1.81,2.1494185260204755,10.0
1.82,2.1540659228538095,10.0
1.83,2.158703314492298,10.0
1.84,2.1633307652784017,10.0
1.85,2.1679483388678884,10.0
1.86,2.172556098240052,10.0
1.87,2.1771541057077326,10.0
1.88,2.1817424229271514,10.0
1.89,2.1863211109075533,10.0
1.9,2.190890230020673,10.0
1.91,2.1954498400100237,10.0
1.92,2.200000000000009,10.0
1.93,2.2045407685048692,10.0
1.94,2.209072203437461,10.0
1.95,2.213594362117875,10.0
1.96,2.2181073012818926,10.0
1.97,2.2226110770892964,10.0
1.98,2.2271057451320178,10.0
1.99,2.2315913604421493,10.0
2.0,2.2360679774997996,10.0
2.01,2.2405356502408176,10.0
2.02,2.2449944320643747,10.0
2.03,2.249444375840408,10.0
2.04,2.253885533916939,10.0
2.05,2.2583179581272526,10.0
2.06,2.262741699796962,10.0
2.07,2.2671568097509365,10.0
2.08,2.2715633383201195,10.0
2.09,2.275961335348218,10.0
2.1,2.2803508501982863,10.0
2.11,2.2847319317591825,10.0
2.12,2.2891046284519296,10.0
2.13,2.2934689882359534,10.0
2.14,2.2978250586152216,10.0
2.15,2.3021728866442777,10.0
2.16,2.306512518934169,10.0
2.17,2.3108440016582787,10.0
2.18,2.315167380558056,10.0
2.19,2.319482700948651,10.0
2.2,2.323790007724461,10.0
2.21,2.3280893453645737,10.0
2.22,2.3323807579381306,10.0
2.23,2.336664289109595,10.0
2.24,2.3409399821439356,10.0
2.25,2.3452078799117255,10.0
2.26,2.349468024894157,10.0
2.27,2.353720459187975,10.0
2.28,2.35796522451033,10.0
2.29,2.3622023622035546,10.0
2.3,2.366431913239858,10.0
2.31,2.370653918225951,10.0
2.32,2.374868417407595,10.0
2.33,2.379075450674076,10.0
2.34,2.3832750575626087,10.0
2.35,2.3874672772626764,10.0
2.36,2.3916521486202913,10.0
2.37,2.3958297101421997,10.0
2.38,2.400000000000012,10.0
2.39,2.4041630560342737,10.0
2.4,2.4083189157584712,10.0
2.41,2.412467616362976,10.0
2.42,2.4166091947189265,10.0
2.43,2.4207436873820534,10.0
2.44,2.4248711305964408,10.0
2.45,2.428991560298236,10.0
2.46,2.4331050121193,10.0
2.47,2.4372115213908003,10.0
2.48,2.441311123146753,10.0
2.49,2.4454038521275097,10.0
2.5,2.4494897427831908,10.0
2.51,2.453568829277072,10.0
2.52,2.4576411454889144,10.0
2.53,2.461706725018247,10.0
2.54,2.465765601187604,10.0
2.55,2.469817807045707,10.0
2.56,2.47386337537061,10.0
2.57,2.477902338672787,10.0
2.58,2.481934729198185,10.0
2.59,2.4859605789312242,10.0
2.6,2.4899799195977605,10.0
2.61,2.4939927826679993,10.0
2.62,2.4979991993593735,10.0
2.63,2.501999200639375,10.0
2.64,2.5059928172283477,10.0
2.65,2.509980079602241,10.0
2.66,2.5139610179953213,10.0
2.67,2.5179356624028486,10.0
2.68,2.5219040425837127,10.0
2.69,2.5258661880630324,10.0
2.7,2.5298221281347186,10.0
2.71,2.533771891864,10.0
2.72,2.537715508089919,10.0
2.73,2.541653005427782,10.0
2.74,2.545584412271586,10.0
2.75,2.5495097567964073,10.0
2.76,2.5534290669607556,10.0
2.77,2.5573423705088993,10.0
2.78,2.5612496949731547,10.0
2.79,2.565151067676147,10.0
2.8,2.5690465157330413,10.0
2.81,2.5729360660537366,10.0
2.82,2.5768197453450403,10.0
2.83,2.580697580112804,10.0
2.84,2.5845695966640325,10.0
2.85,2.5884358211089724,10.0
2.86,2.5922962793631594,10.0
2.87,2.5961509971494494,10.0
2.88,2.600000000000015,10.0
2.89,2.603843313258323,10.0
2.9,2.6076809620810755,10.0
2.91,2.611512971440135,10.0
2.92,2.6153393661244198,10.0
2.93,2.6191601707417744,10.0
2.94,2.6229754097208158,10.0
2.95,2.626785107312755,10.0
2.96,2.630589287593197,10.0
2.97,2.6343879744639143,10.0
2.98,2.6381811916546,10.0
2.99,2.6419689627245977,10.0
3.0,2.6457513110646067,10.0
