time,S1,S2,S3,S4,S5
0.8,5.682503171587006e-7,1.0682503171587006e-6,2.4317496828412998e-6,9.317496828412993e-7,1.0e-6
0.84,5.641371039509221e-7,1.064137103950922e-6,2.4358628960490783e-6,9.358628960490778e-7,1.0e-6
0.88,5.60507752950715e-7,1.060507752950715e-6,2.4394922470492855e-6,9.394922470492849e-7,1.0e-6
0.92,5.573043380421821e-7,1.0573043380421821e-6,2.4426956619578183e-6,9.426956619578178e-7,1.0e-6
0.96,5.544761817814186e-7,1.0544761817814185e-6,2.445523818218582e-6,9.455238182185813e-7,1.0e-6
1.0,5.519787623380498e-7,1.0519787623380499e-6,2.4480212376619507e-6,9.480212376619501e-7,1.0e-6
1.04,5.497729259520401e-7,1.04977292595204e-6,2.4502270740479603e-6,9.502270740479598e-7,1.0e-6
1.08,5.478243300401395e-7,1.0478243300401397e-6,2.452175669959861e-6,9.521756699598604e-7,1.0e-6
1.12,5.461026697675778e-7,1.046102669767578e-6,2.4538973302324226e-6,9.538973302324222e-7,1.0e-6
1.16,5.445813234637099e-7,1.0445813234637101e-6,2.4554186765362902e-6,9.5541867653629e-7,1.0e-6
1.2,5.432368235362022e-7,1.0432368235362024e-6,2.456763176463798e-6,9.567631764637977e-7,1.0e-6
1.24,5.420484663467739e-7,1.042048466346774e-6,2.4579515336532266e-6,9.579515336532261e-7,1.0e-6
1.28,5.409980420804634e-7,1.0409980420804636e-6,2.4590019579195367e-6,9.590019579195365e-7,1.0e-6
1.32,5.40069443526592e-7,1.0400694435265921e-6,2.4599305564734082e-6,9.59930556473408e-7,1.0e-6
1.36,5.39248489391778e-7,1.0392484893917781e-6,2.4607515106082225e-6,9.60751510608222e-7,1.0e-6
1.4,5.385226553760846e-7,1.0385226553760848e-6,2.461477344623916e-6,9.614773446239154e-7,1.0e-6
1.44,5.378808731557222e-7,1.0378808731557224e-6,2.4621191268442786e-6,9.621191268442778e-7,1.0e-6
1.48,5.373133929774143e-7,1.0373133929774145e-6,2.462686607022586e-6,9.626866070225856e-7,1.0e-6
1.52,5.368115796463209e-7,1.0368115796463212e-6,2.4631884203536798e-6,9.63188420353679e-7,1.0e-6
1.56,5.363678212090981e-7,1.0363678212090985e-6,2.4636321787909022e-6,9.636321787909016e-7,1.0e-6
1.6,5.359753883470931e-7,1.0359753883470933e-6,2.4640246116529075e-6,9.640246116529068e-7,1.0e-6
1.64,5.35628328454998e-7,1.035628328454998e-6,2.4643716715450025e-6,9.64371671545002e-7,1.0e-6
1.68,5.35321393778613e-7,1.0353213937786133e-6,2.4646786062213877e-6,9.646786062213868e-7,1.0e-6
1.72,5.350499331917604e-7,1.0350499331917604e-6,2.4649500668082406e-6,9.649500668082397e-7,1.0e-6
1.76,5.348098440024001e-7,1.0348098440024002e-6,2.4651901559976008e-6,9.651901559975999e-7,1.0e-6
1.8,5.345974972580534e-7,1.0345974972580534e-6,2.465402502741947e-6,9.654025027419467e-7,1.0e-6
1.84,5.344096812332989e-7,1.0344096812332988e-6,2.4655903187667016e-6,9.655903187667013e-7,1.0e-6
1.88,5.34243563250343e-7,1.0342435632503428e-6,2.4657564367496577e-6,9.657564367496573e-7,1.0e-6
1.92,5.340966317243314e-7,1.0340966317243313e-6,2.4659033682756693e-6,9.659033682756689e-7,1.0e-6
1.96,5.339666704285987e-7,1.0339666704285986e-6,2.466033329571402e-6,9.660333295714015e-7,1.0e-6
2.0,5.338517184639821e-7,1.033851718463982e-6,2.4661482815360187e-6,9.661482815360182e-7,1.0e-6
